bike_name,price,city,kms_driven,owner,age,power,brand,,,,
Bajaj Avenger 220cc,47000,Delhi,24445,First Owner,8,200,Bajaj,,,,
Bajaj Avenger 220cc,31000,Delhi,34525,First Owner,7,100,Bajaj,,,,
Bajaj Avenger 220cc,72500,Bangalore,19000,First Owner,4,150,Suzuki,,,,
Bajaj Avenger 220cc,80999,Wardha,4000,First Owner,3,150,Suzuki,,,,
Bajaj Avenger 220cc,85000,Chandigarh,9148,First Owner,6,200,Bajaj,,,,
Bajaj Avenger 220cc,60000,Mumbai,16000,First Owner,5,160,TVS,,,,
Bajaj Avenger 220cc,148999,Ranchi,3694,First Owner,4,400,Bajaj,,,,
Bajaj Avenger 220cc,49000,Bangalore,7524,First Owner,5,150,Bajaj,,,,
Bajaj Avenger 220cc,30000,Delhi,23000,First Owner,8,100,Hero,,,,
Bajaj Avenger 220cc,140000,Panvel,12800,First Owner,6,200,KTM,,,,
Bajaj Avenger 220cc,237818,Delhi,1440,First Owner,2,390,KTM,,,,
Bajaj Avenger 220cc,56000,Ranga Reddy,16500,First Owner,4,110,Hero,,,,
Bajaj Avenger 220cc,28000,Mandi,36000,First Owner,5,100,TVS,,,,
Bajaj Avenger 220cc,23600,Delhi,22672,Second Owner,6,150,Yamaha,,,,
Bajaj Avenger 220cc,100000,Bangalore,25000,First Owner,8,500,Royal Enfield,,,,
Bajaj Avenger 220cc,160700,Hyderabad,10000,First Owner,3,200,KTM,,,,
Bajaj Avenger 220cc,78000,Thane,34200,First Owner,6,350,Royal Enfield,,,,
Bajaj Avenger 220cc,45000,Jabalpur,7000,First Owner,4,150,Bajaj,,,,
Bajaj Avenger 220cc,60000,Gurgaon,3490,First Owner,9,350,Royal Enfield,,,,
Bajaj Avenger 220cc,150000,Kota,7500,First Owner,5,200,KTM,,,,
Bajaj Avenger 220cc,37000,Mumbai,13500,First Owner,5,150,Bajaj,,,,
Bajaj Avenger 220cc,125000,Navi Mumbai,11000,First Owner,5,350,Royal Enfield,,,,
Bajaj Avenger 220cc,70000,Mumbai,56353,First Owner,5,200,Bajaj,,,,
Bajaj Avenger 220cc,40000,Rohtak,25000,First Owner,7,220,Bajaj,,,,
Bajaj Avenger 220cc,62000,Delhi,1123,First Owner,2,125,Yamaha,,,,
Bajaj Avenger 220cc,280000,Bangalore,1500,First Owner,2,650,Royal Enfield,,,,
Bajaj Avenger 220cc,44000,Rajkot,15000,First Owner,4,150,Bajaj,,,,
Bajaj Avenger 220cc,85000,Mumbai,31000,First Owner,7,350,Royal Enfield,,,,
Bajaj Avenger 220cc,51000,Gurgaon,28000,First Owner,5,220,Bajaj,,,,
